[info] DATA_STD (clamped): 1.3303 (raw std: 1.3303)
[info] u_HFHR stats: min=-3.54604, max=3.70565, mean=-4.56397e-09, any_nan=False, any_inf=False
[info] sigma probe: min=0.00654378, max=151.294, any<=0=False, any_nan=False
[jit] sigma stats: min=0.014574253931641579, max=151.92068481445312, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011850601062178612, max=151.0845947265625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011718864552676678, max=151.0469970703125, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011387485079467297, max=150.95359802246094, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005310507956892252, max=149.62106323242188, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00989776011556387, max=150.55734252929688, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0069985100999474525, max=149.91036987304688, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013973409309983253, max=151.7271728515625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012671294622123241, max=151.32505798339844, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00507002929225564, max=149.58560180664062, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00937504880130291, max=150.42796325683594, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008296473883092403, max=150.17811584472656, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011364264413714409, max=150.94712829589844, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011581700295209885, max=151.00802612304688, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00717084389179945, max=149.9436798095703, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008416622877120972, max=150.2047576904297, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013660320080816746, max=151.6282958984375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.007116846274584532, max=149.9331817626953, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01180973183363676, max=151.0729217529297, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009617260657250881, max=150.4872283935547, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014617005363106728, max=151.93467712402344, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005322333425283432, max=149.6228485107422, any_nan=False, any_le0=False
[jit] sigma stats: min=0.010300894267857075, max=150.66062927246094, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00726160267367959, max=149.96156311035156, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01470617949962616, max=151.96380615234375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013370492495596409, max=151.5380096435547, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014179578050971031, max=151.7930908203125, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0011959071271121502, max=149.2328643798828, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0045329672284424305, max=149.51194763183594, any_nan=False, any_le0=False
[jit] sigma stats: min=0.002398379147052765, max=149.29684448242188, any_nan=False, any_le0=False
[jit] sigma stats: min=0.007177228108048439, max=149.94497680664062, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01489245519042015, max=152.0249786376953, any_nan=False, any_le0=False
[jit] sigma stats: min=0.006558545865118504, max=149.8283233642578, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014763076789677143, max=151.982421875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.015130930580198765, max=152.10394287109375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009569324553012848, max=150.4753875732422, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008283491246402264, max=150.1752471923828, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0016171259339898825, max=149.2503662109375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01098240353167057, max=150.8419952392578, any_nan=False, any_le0=False
[jit] sigma stats: min=0.002956150099635124, max=149.34071350097656, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00788620300590992, max=150.0894012451172, any_nan=False, any_le0=False
[jit] sigma stats: min=0.007538955193012953, max=150.01727294921875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012828503735363483, max=151.37232971191406, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009810862131416798, max=150.5355224609375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00889604538679123, max=150.31410217285156, any_nan=False, any_le0=False
[jit] sigma stats: min=0.006884139962494373, max=149.88856506347656, any_nan=False, any_le0=False
[jit] sigma stats: min=0.006315681617707014, max=149.7850341796875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005581323988735676, max=149.66265869140625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008699997328221798, max=150.268798828125, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011701775714755058, max=151.04209899902344, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009818006306886673, max=150.53724670410156, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0095153683796525, max=150.4621124267578, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009003128856420517, max=150.3391876220703, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008307821117341518, max=150.18067932128906, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013716137036681175, max=151.64585876464844, any_nan=False, any_le0=False
[jit] sigma stats: min=0.007831173948943615, max=150.077880859375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008353893645107746, max=150.19078063964844, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00320642557926476, max=149.36322021484375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01213421393185854, max=151.16647338867188, any_nan=False, any_le0=False
[jit] sigma stats: min=0.010163599625229836, max=150.62513732910156, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0036944227758795023, max=149.41229248046875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012761443853378296, max=151.3521270751953, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01477852463722229, max=151.9875030517578, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012750646099448204, max=151.3489532470703, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0062994081526994705, max=149.7821807861328, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014094822108745575, max=151.76588439941406, any_nan=False, any_le0=False
[jit] sigma stats: min=0.015153799206018448, max=152.11170959472656, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0028433094266802073, max=149.3311004638672, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011086405254900455, max=150.87042236328125, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013070444576442242, max=151.44577026367188, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01070666778832674, max=150.76763916015625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012342827394604683, max=151.2275390625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.004257116001099348, max=149.4770050048828, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011869434267282486, max=151.0900115966797, any_nan=False, any_le0=False
[jit] sigma stats: min=0.004475185181945562, max=149.50445556640625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00862628873437643, max=150.2520294189453, any_nan=False, any_le0=False
[jit] sigma stats: min=0.007420878391712904, max=149.99337768554688, any_nan=False, any_le0=False
[jit] sigma stats: min=0.006812078878283501, max=149.87506103515625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.006492361892014742, max=149.8163299560547, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0036123835016041994, max=149.4036102294922, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013936413452029228, max=151.7153778076172, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0013728353660553694, max=149.2396240234375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.007747615221887827, max=150.0603485107422, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011642791330814362, max=151.0254669189453, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012550481595098972, max=151.2890625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.001134353457018733, max=149.23072814941406, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00784644391387701, max=150.0811004638672, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0108278077095747, max=150.80014038085938, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01268935576081276, max=151.33055114746094, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012860164977610111, max=151.38186645507812, any_nan=False, any_le0=False
[jit] sigma stats: min=0.010528270155191422, max=150.72019958496094, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011064080521464348, max=150.86422729492188, any_nan=False, any_le0=False
[jit] sigma stats: min=0.006928388494998217, max=149.89700317382812, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005047766957432032, max=149.5823974609375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.010518751107156277, max=150.71768188476562, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014803331345319748, max=151.9956817626953, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012917391955852509, max=151.39926147460938, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014766939915716648, max=151.98373413085938, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008063587360084057, max=150.12733459472656, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00919499434530735, max=150.3846435546875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.006821597460657358, max=149.87677001953125, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012209547683596611, max=151.1885223388672, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009047210216522217, max=150.34957885742188, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013478729873895645, max=151.57154846191406, any_nan=False, any_le0=False
[jit] sigma stats: min=0.006621238309890032, max=149.83969116210938, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008361957035958767, max=150.19264221191406, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009739218279719353, max=150.51751708984375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013907919637858868, max=151.70640563964844, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014275294728577137, max=151.82379150390625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.004340441897511482, max=149.48733520507812, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008106623776257038, max=150.13671875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011308668181300163, max=150.9317169189453, any_nan=False, any_le0=False
[jit] sigma stats: min=0.003929234575480223, max=149.4383087158203, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0018906663171947002, max=149.26467895507812, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01040131226181984, max=150.68685913085938, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01442938856780529, max=151.87353515625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009912662208080292, max=150.5610809326172, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011736568063497543, max=151.0519561767578, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005218645092099905, max=149.60743713378906, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014541448093950748, max=151.90997314453125, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009625231847167015, max=150.48922729492188, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01139843836426735, max=150.95669555664062, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01477742101997137, max=151.987060546875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005330597050487995, max=149.62405395507812, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0025707881432026625, max=149.3094482421875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01148582436144352, max=150.98118591308594, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009418558329343796, max=150.43858337402344, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005308140069246292, max=149.6207733154297, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012679724022746086, max=151.32765197753906, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014534215442836285, max=151.90757751464844, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012093957513570786, max=151.1548614501953, any_nan=False, any_le0=False
[jit] sigma stats: min=0.002066737972199917, max=149.27493286132812, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014903439208865166, max=152.02859497070312, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014970891177654266, max=152.05093383789062, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008106623776257038, max=150.13671875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005323514807969332, max=149.62306213378906, any_nan=False, any_le0=False
[jit] sigma stats: min=0.010716743767261505, max=150.77037048339844, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012912034057080746, max=151.39752197265625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008944353088736534, max=150.32534790039062, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00825747661292553, max=150.16958618164062, any_nan=False, any_le0=False
[jit] sigma stats: min=0.015019598416984081, max=152.0670928955078, any_nan=False, any_le0=False
[jit] sigma stats: min=0.015150533057749271, max=152.1105499267578, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00837886892259121, max=150.1963653564453, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011458241380751133, max=150.97340393066406, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009419295005500317, max=150.438720703125, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01254260540008545, max=151.28668212890625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.015173929743468761, max=152.11837768554688, any_nan=False, any_le0=False
[jit] sigma stats: min=0.003027114784345031, max=149.34690856933594, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011513362638652325, max=150.98887634277344, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011913302354514599, max=151.1025390625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013642454519867897, max=151.6227264404297, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005021681077778339, max=149.5786895751953, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009704692289233208, max=150.50897216796875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005872385576367378, max=149.7095489501953, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005546126049011946, max=149.65724182128906, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012655026279389858, max=151.3202362060547, any_nan=False, any_le0=False
[jit] sigma stats: min=0.010421177372336388, max=150.69203186035156, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013112376444041729, max=151.4586181640625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005971239879727364, max=149.72598266601562, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01274284441024065, max=151.34649658203125, any_nan=False, any_le0=False
[jit] sigma stats: min=0.006351152900606394, max=149.7911834716797, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00971333310008049, max=150.51112365722656, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013886240310966969, max=151.6995391845703, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0068349046632647514, max=149.8792724609375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.006685365457087755, max=149.85147094726562, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009304676204919815, max=150.410888671875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.015221753157675266, max=152.13426208496094, any_nan=False, any_le0=False
[jit] sigma stats: min=0.001509864698164165, max=149.24545288085938, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008109926246106625, max=150.13743591308594, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01223849132657051, max=151.19696044921875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00879029929637909, max=150.2895050048828, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009668633341789246, max=150.5, any_nan=False, any_le0=False
[jit] sigma stats: min=0.004257116001099348, max=149.4770050048828, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0066222138702869415, max=149.83990478515625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008974921889603138, max=150.33251953125, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01039788406342268, max=150.6859130859375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005242645274847746, max=149.61085510253906, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0062902383506298065, max=149.78053283691406, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013309163972735405, max=151.51901245117188, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012752446345984936, max=151.34938049316406, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011014068499207497, max=150.8506317138672, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01488366536796093, max=152.02207946777344, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0025471944827586412, max=149.30767822265625, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008686702698469162, max=150.2657928466797, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014573697932064533, max=151.92054748535156, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011008795350790024, max=150.8491973876953, any_nan=False, any_le0=False
[jit] sigma stats: min=0.004885528702288866, max=149.55943298339844, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01323652546852827, max=151.49661254882812, any_nan=False, any_le0=False
[jit] sigma stats: min=0.015238580293953419, max=152.13999938964844, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013589354231953621, max=151.60609436035156, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0021827814634889364, max=149.28225708007812, any_nan=False, any_le0=False
